st,en,popularity
31003,31638,7
31003,31639,9
31003,31640,8
31003,31641,7
31003,31643,14
31003,31644,4
31003,31645,9
31003,31646,234
31003,31647,3
31003,31648,10
31003,31649,4
31003,31650,7
31003,31651,25
31003,31652,6
31003,31653,10
31003,31654,9
31003,31655,4
31003,31657,2
31003,31658,1
31003,31659,5
31003,31662,2
31003,31664,2
31003,31666,11
31003,31667,5
31003,31668,5
31003,31669,2
31003,31707,2
31003,31712,1
31003,31801,2
31003,31802,1
31003,31805,1
31003,31900,1
31003,31901,2
31003,31902,1
31003,31903,43
31003,31904,5
31003,31905,6
31003,31906,12
31003,31907,25
31003,31908,8
31003,31909,174
31003,31910,125
31003,31912,344
31003,31913,17
31003,31914,3
31003,31915,21
31003,31916,867
31003,31917,69
31003,31918,255
31003,31919,5
31003,31920,5
31003,31921,2
31003,31923,5
31003,31924,16
31003,31928,2
31003,31929,13
31003,31931,11
31003,31935,45
31003,31936,31
31003,31937,6
31003,31938,206
31003,31939,4
31003,31940,3
31003,31944,51
31003,31947,8
31003,31949,12
31003,31950,103
31003,32002,6
31003,32012,1
31003,32014,2
31003,32021,1
31003,32040,1
31003,32046,3
31003,32050,1
31003,32053,1
31003,32055,2
31003,32078,1
31003,32205,1
31003,32235,2
31003,32406,2
31003,32604,1
31004,31005,16142
31004,31006,3641
31004,31009,582
31004,31010,507
31004,31011,1674
31004,31012,133
31004,31013,1357
31004,31014,140
31004,31015,24
31004,31016,11
31004,31017,1
31004,31018,3
31004,31019,2
31004,31020,18
31004,31021,9
31004,31022,13
31004,31023,5
31004,31024,31
31004,31026,4
31004,31027,2
31004,31028,4
31004,31029,2
31004,31031,4
31004,31032,8
31004,31033,9
31004,31034,4
31004,31036,1
31004,31037,6
31004,31039,9
31004,31040,1
31004,31041,145
31004,31042,41
31004,31043,21
31004,31044,23
31004,31045,8
31004,31046,20
31004,31047,82
31004,31048,13
31004,31050,3
31004,31051,2
31004,31052,643
31004,31053,47
31004,31054,4
31004,31055,232
31004,31056,88
31004,31057,60
31004,31058,7
31004,31059,22
31004,31060,92
31004,31061,13
31004,31062,58
31004,31063,1
31004,31064,270
31004,31065,2
31004,31066,74
31004,31067,21
31004,31068,14
31004,31069,1
31004,31070,1
31004,31071,710
31004,31072,6
31004,31073,24
31004,31074,10
31004,31075,25
31004,31076,26
31004,31077,34
31004,31078,3
31004,31080,1
31004,31081,34
31004,31082,16
31004,31083,14
31004,31084,289
31004,31085,37
31004,31086,60
31004,31087,22
31004,31088,67
31004,31089,37
31004,31090,110
31004,31091,580
31004,31092,1
31004,31094,2
31004,31095,77
31004,31096,7
31004,31097,9
31004,31098,19
31004,31099,3
31004,31100,4
31004,31101,5
31004,31102,1
31004,31103,1
31004,31104,4
31004,31106,3
31004,31108,30
31004,31111,2
31004,31121,1
31004,31122,4
31004,31124,1
31004,31125,5
31004,31126,1
31004,31127,10
31004,31128,2
31004,31129,7
31004,31200,12
31004,31201,10
31004,31202,7
31004,31203,3
31004,31204,61
31004,31205,112
31004,31206,143
31004,31208,13
31004,31209,14
31004,31211,23
31004,31212,16
31004,31213,8
31004,31214,3
31004,31215,78
31004,31216,24
31004,31217,78
31004,31218,37
31004,31219,30
31004,31220,129
31004,31221,95
31004,31222,112
31004,31223,4
31004,31224,12
31004,31225,33
31004,31226,5
31004,31227,24
31004,31228,12
31004,31229,5
31004,31230,98
31004,31231,69
31004,31232,26
31004,31233,7
31004,31234,1
31004,31235,115
31004,31236,15
31004,31237,19
31004,31238,21
31004,31239,17
31004,31240,58
31004,31241,4
31004,31242,7
31004,31243,29
31004,31244,108
31004,31246,14
31004,31247,73
31004,31248,66
31004,31249,1295
31004,31250,2
31004,31251,8
31004,31252,15
31004,31253,7
31004,31254,93
31004,31255,11
31004,31256,9
31004,31257,56
31004,31258,322
31004,31259,8
31004,31260,111
31004,31261,29
31004,31262,11
31004,31263,2
31004,31264,15
31004,31265,17
31004,31266,3
31004,31267,3
31004,31270,10
31004,31271,4
31004,31272,101
31004,31273,11
31004,31274,10
31004,31275,18
31004,31277,11
31004,31278,4
31004,31279,15
31004,31281,3
31004,31283,3
31004,31284,1
31004,31286,3
31004,31287,15
31004,31288,4
31004,31289,32
31004,31290,20
31004,31291,1
31004,31292,25
31004,31294,5
31004,31295,15
31004,31297,3
31004,31298,1
31004,31304,1
31004,31305,2
31004,31307,1
31004,31312,7
31004,31314,72
31004,31321,9
31004,31328,9
31004,31401,1
31004,31406,2
31004,31502,1
31004,31506,1
31004,31509,1
31004,31600,5
31004,31603,3
31004,31604,2
31004,31605,1
31004,31609,143
31004,31610,1
31004,31613,7
31004,31616,4
31004,31618,3
31004,31620,17
31004,31621,11
31004,31623,7
31004,31624,7
31004,31626,1
31004,31628,4
31004,31633,8
31004,31634,5
31004,31637,1
31004,31639,1
31004,31640,1
31004,31641,1
31004,31643,7
31004,31644,1
31004,31646,18
31004,31652,1
31004,31659,1
31004,31666,1
31004,31668,2
31004,31902,1
31004,31903,7
31004,31905,2
31004,31906,3
31004,31907,4
31004,31908,1
31004,31909,51
31004,31910,8
31004,31912,39
31004,31913,10
31004,31915,2
31004,31916,118
31004,31917,6
31004,31918,34
31004,31920,1
31004,31923,2
31004,31924,1
31004,31926,3
31004,31927,1
31004,31928,1
31004,31929,20
31004,31931,2
31004,31935,17
31004,31936,323
31004,31938,94
31004,31940,1
31004,31941,10
31004,31944,121
31004,31945,3
31004,31947,1
31004,31949,3
31004,31950,16
31004,32002,1
31004,32013,1
31004,32046,8
31004,32055,1
31005,31006,3742
31005,31009,3395
31005,31010,1491
31005,31011,3498
31005,31012,1139
31005,31013,4006
31005,31014,430
31005,31015,269
31005,31016,81
31005,31017,40
31005,31018,103
31005,31019,16
31005,31020,20
31005,31021,44
31005,31022,52
31005,31023,18
31005,31024,48
31005,31025,17
31005,31026,60
31005,31027,25
31005,31028,16
31005,31029,19
31005,31030,3
31005,31031,70
31005,31032,47
31005,31033,39
31005,31034,17
31005,31035,26
31005,31036,3
31005,31037,41
31005,31038,7
31005,31039,50
31005,31040,27
31005,31041,235
31005,31042,185
31005,31043,56
31005,31044,65
31005,31045,31
31005,31046,52
31005,31047,98
31005,31048,37
31005,31049,3
31005,31050,28
31005,31051,30
31005,31052,1037
31005,31053,1497
31005,31054,59
31005,31055,1601
31005,31056,2671
31005,31057,484
31005,31058,33
31005,31059,103
31005,31060,564
31005,31061,109
31005,31062,172
31005,31063,28
31005,31064,642
31005,31065,46
31005,31066,1641
31005,31067,383
31005,31068,65
31005,31069,24
31005,31070,66
31005,31071,2581
31005,31072,97
31005,31073,438
31005,31074,87
31005,31075,782
31005,31076,307
31005,31077,508
31005,31078,60
31005,31079,6
31005,31080,24
31005,31081,13
31005,31082,24
31005,31083,38
31005,31084,58
31005,31085,37
31005,31086,67
31005,31087,47
31005,31088,467
31005,31089,58
31005,31090,1668
31005,31091,7571
31005,31092,4
31005,31093,2
31005,31094,4
31005,31095,779
31005,31096,159
31005,31097,32
31005,31098,54
31005,31099,13
31005,31100,58
31005,31101,29
31005,31102,11
31005,31103,10
31005,31104,20
31005,31105,7
31005,31106,9
31005,31107,3
31005,31108,171
31005,31109,7
31005,31110,24
31005,31111,10
31005,31112,1
31005,31113,8
31005,31114,13
31005,31115,1
31005,31116,20
31005,31117,8
31005,31118,9
31005,31119,11
31005,31120,1
31005,31121,12
31005,31122,11
31005,31124,8
31005,31125,8
31005,31127,47
31005,31128,26
31005,31129,41
31005,31130,1
31005,31131,1
31005,31133,3
31005,31200,124
31005,31201,38
31005,31202,21
31005,31203,43
31005,31204,89
31005,31205,261
