short_name,name,lat,lon,tripcount,roundtrips
32051,Connecticut Ave & Chevy Chase Lake Dr,38.994113,-77.076986,5805,412
32052,Key West Ave & Siesta Key Way,39.105295,-77.194774,2258,422
31900,Langston Blvd & N Woodstock St,38.898301,-77.118009,9541,502
31097,Saint Asaph St & Madison St,38.812718,-77.044097,29254,1229
31098,King St Metro North / Cameron St,38.80704,-77.059817,42209,1194
31099,Madison St & N Henry St,38.813485,-77.049468,15515,468
32053,Medical Center Metro ,38.999378,-77.097882,10891,267
31901,Washington Blvd & N Frederick St,38.884829,-77.127671,6819,254
31317,Wisconsin Ave & Ingomar St NW,38.958267,-77.084636,17496,396
31122,16th & Irving St NW,38.928893,-77.03625,86807,985
31282,16th & R St NW,38.912652,-77.036278,133504,1434
32054,Lyttonsville Rd & Lyttonsville Pl,38.999679,-77.051168,3898,671
32055,Woodmont Ave & Strathmore St,38.979875,-77.093522,27268,1662
31283,14th & L St NW,38.903658,-77.031737,140229,1965
31519,1st & O St NW,38.908643,-77.012365,113806,1303
31811,South Capitol & Atlantic St SW,38.831516,-77.008133,2772,258
31284,18th & C St NW,38.893511,-77.041544,72986,3197
31285,22nd & P ST NW,38.909394,-77.048728,152821,3122
32056,East West Hwy & 16th St,38.995681,-77.038721,8098,738
31903,Royal St & Wilkes St,38.799267,-77.0447,18189,2188
31123,14th & Girard St NW,38.925284,-77.032375,71026,877
31910,Potomac Ave & Main Line Blvd,38.822738,-77.049265,14279,968
31286,11th & O St NW,38.90843,-77.02714,152542,1895
31287,10th St & L'Enfant Plaza SW,38.88432272414662,-77.02601015567778,69049,2656
31318,Connecticut Ave & Yuma St NW,38.947156,-77.065115,28301,832
31641,2nd St & Massachusetts Ave NE,38.894972,-77.003135,154682,1929
31908,Radford St & Osage St,38.828437,-77.086031,5132,377
31904,East Falls Church Metro / Sycamore St & 19th St N,38.88532071975074,-77.15642720460892,19302,1132
31905,Kennebec St & 11th St N,38.880992,-77.135271,13885,1171
31906,Commonwealth Ave & Oak St,38.812711,-77.061715,9889,476
31913,Commonwealth Ave & E Monroe Ave,38.82005823354218,-77.06282079219818,9733,464
31288,4th St & Madison Dr NW,38.8904955,-77.0172465,371504,22310
31289,Henry Bacon Dr & Lincoln Memorial Circle NW,38.890539,-77.049383,369818,16208
31290,17th St & Independence Ave SW,38.888097,-77.038325,255417,16148
31907,Franklin St & S Washington St,38.798133,-77.0487,23554,2268
31909,Mount Vernon Ave & Four Mile Run Park,38.843422,-77.064016,14145,1651
