st,en,popularity
31004,31052,643
31004,31053,48
31004,31054,6
31004,31055,235
31004,31056,89
31004,31057,60
31004,31058,7
31004,31059,22
31004,31060,100
31004,31061,13
31004,31062,56
31004,31063,1
31004,31064,275
31004,31065,2
31004,31066,77
31004,31067,24
31004,31068,14
31004,31069,1
31004,31070,1
31004,31071,752
31004,31072,6
31004,31073,24
31004,31074,10
31004,31075,25
31004,31076,26
31004,31077,34
31004,31078,4
31004,31080,1
31004,31081,34
31004,31082,17
31004,31083,14
31004,31084,288
31004,31085,37
31004,31086,60
31004,31087,22
31004,31088,67
31004,31089,38
31004,31090,112
31004,31091,592
31004,31092,1
31004,31094,2
31004,31095,77
31004,31096,8
31004,31097,9
31004,31098,19
31004,31099,3
31004,31100,4
31004,31101,5
31004,31102,1
31004,31103,1
31004,31104,4
31004,31106,3
31004,31108,31
31004,31111,2
31004,31121,1
31004,31122,4
31004,31124,1
31004,31125,5
31004,31126,1
31004,31127,10
31004,31128,2
31004,31129,7
31004,31200,12
31004,31201,10
31004,31202,8
31004,31203,4
31004,31204,61
31004,31205,112
31004,31206,143
31004,31208,13
31004,31209,14
31004,31211,23
31004,31212,16
31004,31213,8
31004,31214,3
31004,31215,78
31004,31216,24
31004,31217,78
31004,31218,37
31004,31219,38
31004,31220,129
31004,31221,95
31004,31222,112
31004,31223,4
31004,31224,12
31004,31225,33
31004,31226,5
31004,31227,24
31004,31228,12
31004,31229,5
31004,31230,98
31004,31231,69
31004,31232,31
31004,31233,7
31004,31234,1
31004,31235,115
31004,31236,15
31004,31237,19
31004,31238,21
31004,31239,17
31004,31240,58
31004,31241,4
31004,31242,7
31004,31243,29
31004,31244,108
31004,31246,14
31004,31247,75
31004,31248,69
31004,31249,1296
31004,31250,2
31004,31251,8
31004,31252,15
31004,31253,7
31004,31254,93
31004,31255,11
31004,31256,12
31004,31257,57
31004,31258,330
31004,31259,8
31004,31260,111
31004,31261,29
31004,31262,11
31004,31263,2
31004,31264,19
31004,31265,17
31004,31266,3
31004,31267,3
31004,31270,10
31004,31271,4
31004,31272,101
31004,31273,11
31004,31274,10
31004,31275,19
31004,31277,11
31004,31278,4
31004,31279,16
31004,31281,3
31004,31283,3
31004,31284,1
31004,31286,3
31004,31287,15
31004,31288,4
31004,31289,33
31004,31290,20
31004,31291,1
31004,31292,25
31004,31293,1
31004,31294,5
31004,31295,15
